laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,CpuGen,Ram,Gpu,OpSys,Weight,Price_euros
456,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,7th Gen,16GB,Intel Iris Plus Graphics 640,Windows 10 S,1.25kg,3154.15
457,HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.91kg,728.03
458,Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,6th Gen,16GB,Nvidia Quadro M620,Windows 10,2.17kg,2293.92
459,HP,ProBook 650,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.31kg,1434.41
460,Lenovo,ThinkPad T470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.65kg,1553.91
461,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,AMD Radeon 530,Windows 10,2.36kg,1310.98
462,Dell,Inspiron 3168,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Pentium Quad Core N3710 1.6GHz,3th Gen,4GB,Intel HD Graphics 405,Windows 10,1.47kg,469.74
463,Dell,Alienware 17,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.7GHz,7th Gen,8GB,Nvidia GeForce GTX 1060,Windows 10,4.42kg,3109.08
464,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,Unknown,4GB,Intel HD Graphics 615,Windows 10 S,1.252kg,983.93
465,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,7th Gen,8GB,Intel Iris Plus Graphics 640,Windows 10 S,1.25kg,1990.56
466,HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,2.5kg,617.83
467,Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Nvidia GeForce 940MX,Windows 10,2.23kg,622.69
468,Acer,TravelMate B,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Windows 10,1.4kg,326.93
469,Asus,Pro P2540UA-AB51,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.37kg,742.1
470,Lenovo,IdeaPad 510s-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,AMD Radeon R7 M460,No OS,1.5kg,704.38
471,Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,7th Gen,8GB,Nvidia Quadro M2200M,Windows 10,2.67kg,2355.57
472,Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4th Gen,4GB,Intel HD Graphics 500,Windows 10,2kg,394.86
473,Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,Nvidia GeForce GTX 940MX,Windows 10,2.2kg,576.5
474,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,AMD Radeon 530,Windows 10,2.02kg,474.88
475,HP,Omen 17-an006nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,12GB,Nvidia GeForce GTX 1060,Windows 10,3.78kg,2562.8
476,Lenovo,Thinkpad T460s,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,6th Gen,12GB,Intel HD Graphics 520,Windows 10,1.4kg,2153.53
477,HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.29kg,1888.46
478,HP,ZBook 15u,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,AMD FirePro W4190M ,Windows 10,1.9kg,1305.67
479,Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,5th Gen,8GB,Intel HD Graphics 615,Chrome OS,1.1kg,1447.43
480,Dell,Latitude 7390,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.42kg,1780.39
481,Asus,ZenBook Pro,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,6th Gen,12GB,Intel HD Graphics 530,Windows 10,2.06kg,1480.32
482,Dell,Latitude E5470,Notebook,14.0,1366x768,Intel Core i3 6100U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,1.79kg,724.09
483,Dell,Precision M5520,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia Quadro M1200,Windows 10,1.78kg,2454.06
484,Lenovo,Thinkpad T470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.7kg,1313.18
485,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,AMD Radeon 520,Windows 10,2.2kg,549.09
486,Toshiba,Portege X30-D-10J,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.05kg,1887.97
487,Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,Nvidia GeForce 940MX,Windows 10,2.16kg,1535.93
488,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.18kg,705.67
489,HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,4GB,Intel UHD Graphics 620,Windows 10,1.49kg,917.65
490,Chuwi,"Lapbook 15,6",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,8th Gen,4GB,Intel HD Graphics,Windows 10,1.89kg,289.94
491,Lenovo,ThinkPad E570,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,2.3kg,561.3
492,Lenovo,ThinkPad E480,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.75kg,1330.06
493,Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,6th Gen,16GB,Nvidia Quadro M620,Windows 10,2.17kg,1937.02
494,Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1050,Windows 10,2.06kg,1746.83
495,Lenovo,Thinkpad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,16GB,Intel HD Graphics 620,Windows 10,1.36kg,1631.07
496,Asus,Zenbook UX390UA,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,16GB,Intel HD Graphics 620,Windows 10,0.91kg,2566.22
497,Lenovo,Thinkpad E570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Nvidia GeForce 940MX,Windows 10,2.3kg,1304.01
498,Toshiba,Portege X30-D-10L,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,32GB,Intel HD Graphics 620,Windows 10,1.05kg,3351.69
499,Asus,VivoBook Pro,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,1.99kg,1774.42
500,Acer,Aspire 5,Notebook,15.6,1366x768,AMD A10-Series 9620P 2.5GHz,9th Gen,8GB,AMD Radeon RX 540,Windows 10,2.2kg,535.08
501,Asus,Rog G752VL-UH71T,Gaming,17.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,6th Gen,24GB,Nvidia GeForce GTX 965M,Windows 10,4.33kg,1484.37
502,Lenovo,Thinkpad X260,Ultrabook,12.5,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,1.3kg,1181.39
503,Lenovo,Ideapad 520-15IKBR,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,2.17kg,1141.04
504,HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.48kg,1883.59
505,Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.4kg,970.84
506,Lenovo,ThinkPad L570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.3kg,1100.65
507,Asus,VivoBook E201NA,Netbook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Windows 10 S,1.2kg,433.58
508,HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,AMD Radeon 520,Windows 10,1.91kg,598.15
509,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.4kg,1739.37
510,Lenovo,IdeaPad 320-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Windows 10,2.1kg,265.61
511,Lenovo,Chromebook N23,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Chrome OS,1.25kg,159.1
512,Lenovo,ThinkPad 13,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.44kg,1081.95
513,Asus,ZenBook UX510UX-CN211T,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2kg,1495.46
514,Acer,Aspire A515-51G-59QF,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,4GB,Nvidia GeForce MX150,Windows 10,2.2kg,706.43
515,HP,Envy 13-AB002nv,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.34kg,939.45
516,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia GeForce GTX 1060,No OS,2.4kg,1183.27
517,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.29kg,590.04
518,Acer,Aspire A515-51G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,4GB,Nvidia GeForce 940MX,Windows 10,2.2kg,877.95
519,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.18kg,738.01
520,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,16GB,AMD Radeon 530,Windows 10,2.2kg,1647.29
521,Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,16GB,Nvidia GeForce MX150,No OS,1.95kg,1804.78
522,Asus,VivoBook E12,Netbook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,3th Gen,2GB,Intel HD Graphics 500,Windows 10,1.1kg,225.37
523,HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,15.6,Touchscreen 1366x768,Intel Core i5 8250U 1.6GHz,8th Gen,4GB,Intel UHD Graphics 620,Windows 10,2.04kg,455.47
524,Asus,ROG Zephyrus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,24GB,Nvidia GeForce GTX1080,Windows 10,2.24kg,3472.78
525,HP,Probook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Nvidia GeForce 930MX,Windows 10,2.04kg,827.78
526,Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX1050 Ti,Windows 10,3kg,1685.23
527,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia GeForce GTX 1060,Windows 10,3.2kg,1403.8
528,HP,Spectre X360,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.32kg,1040.53
529,Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.64kg,836.82
530,HP,ProBook 440,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.63kg,789.14
531,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,AMD Radeon 530,Linux,2.8kg,878.06
532,Lenovo,ThinkPad L470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 7,2.02kg,1325.77
533,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,4GB,Nvidia GeForce 920MX,Windows 10,2.2kg,990.1
534,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,8GB,Nvidia GeForce 920MX ,No OS,2.2kg,612.62
535,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,AMD Radeon R5 M430,Windows 10,2.3kg,611.61
536,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.9kg,1420.9
537,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1070,Windows 10,4.42kg,3615.41
538,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.0kg,712.61
539,Asus,Zenbook UX510UW-FI095T,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce GTX 960M,Windows 10,2kg,1486.88
540,Mediacom,SmartBook Edge,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Windows 10,1.2kg,446.63
541,Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1060,Windows 10,2.3kg,2038.24
542,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,7th Gen,8GB,Nvidia GeForce 930MX,Windows 10,1.93kg,975.62
543,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,AMD Radeon 530,Windows 10,2.2kg,755.73
544,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N3710 1.6GHz,3th Gen,4GB,Intel HD Graphics 405,Windows 10,1.86kg,368.81
545,HP,Omen 15-ce006nv,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,12GB,Nvidia GeForce GTX 1060,Windows 10,2.62kg,2014.84
546,Lenovo,Thinkpad E470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce 940MX,Windows 10,1.87kg,1027.49
547,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.2kg,1957.68
548,Dell,Vostro 5468,Notebook,14.0,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.6kg,736.61
549,HP,Envy 13-AB020nr,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.34kg,1145.56
550,Acer,Aspire 7,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Linux,2.4kg,1061.29
551,Asus,VivoBook X540YA-XX519T,Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,7th Gen,4GB,AMD Radeon R2 Graphics,Windows 10,2kg,404.6
552,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.1kg,954.92
553,Lenovo,ThinkPad E470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.87kg,908.83
554,Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,4GB,Intel HD Graphics 520,No OS,2.15kg,401.59
555,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.86kg,330.85
556,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.99kg,1365.39
557,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,2.2kg,614.97
558,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.9kg,1494.22
559,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1070,Windows 10,4.42kg,3967.19
560,HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,2.65kg,690.32
561,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce 930MX,Windows 10,2.63kg,1705.69
562,Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Linux,2kg,220.42
563,Mediacom,SmartBook 130,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,8th Gen,4GB,Intel HD Graphics,Windows 10,1.35kg,221.52
564,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,7th Gen,6GB,Nvidia GeForce 940MX,Windows 10,2.8kg,1205.25
565,HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,9th Gen,6GB,AMD Radeon 530,Windows 10,1.91kg,673.31
566,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,AMD Radeon R5 M420,Windows 10,2.18kg,692.97
567,Acer,Spin SP111-31,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 2.0GHz,3th Gen,4GB,Intel HD Graphics 500,Windows 10,1.25kg,410.94
568,Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.05kg,733.72
569,HP,EliteBook 1030,Ultrabook,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core M 6Y75 1.2GHz,Unknown,16GB,Intel HD Graphics 515,Windows 10,1.16kg,2666.04
570,Lenovo,Thinkpad P71,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia Quadro M620M,Windows 10,3.4kg,4075.63
571,Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,2.5kg,1014.22
572,Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.21kg,2029.39
573,Dell,Latitude 5580,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.93kg,1153.5
574,Fujitsu,Lifebook A557,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.2kg,744.74
575,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4th Gen,4GB,Intel HD Graphics 505,Windows 10,2.2kg,430.45
576,Lenovo,ThinkPad L470,Notebook,14.0,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.02kg,812.89
577,HP,ZBook 17,Workstation,17.3,1600x900,Intel Core i5 7440HQ 2.8GHz,7th Gen,8GB,Nvidia Quadro M1200,Windows 10,3.14kg,2439.35
578,HP,14-am079na (N3710/8GB/2TB/W10),Notebook,14.0,1366x768,Intel Pentium Quad Core N3710 1.6GHz,3th Gen,8GB,Intel HD Graphics 405,Windows 10,1.94kg,334.97
579,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,9th Gen,6GB,AMD Radeon 530,Windows 10,1.95kg,751.0
580,Lenovo,Thinkpad E570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.3kg,772.7
581,Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,4GB,Intel HD Graphics 620,Windows 10,2.05kg,829.31
582,Mediacom,SmartBook 141,Notebook,14.0,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,8th Gen,4GB,Intel HD Graphics,Windows 10,1.4kg,272.21
583,Toshiba,Tecra X40-D-10H,Ultrabook,14.0,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,16GB,Intel HD Graphics 620,Windows 10,1.24kg,1456.66
584,Lenovo,IdeaPad Y910-17ISK,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6th Gen,32GB,Nvidia GeForce GTX 1070,Windows 10,4.6kg,3153.36
585,MSI,GT73VR Titan,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,7th Gen,16GB,Nvidia GeForce GTX 1070,Windows 10,4.14kg,2686.47
586,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,AMD Radeon R5 M430,Linux,2.2kg,955.91
587,Mediacom,SmartBook Edge,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Windows 10,1.45kg,428.0
588,Dell,Latitude 5580,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.9kg,1189.13
589,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.49kg,653.2
590,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,7th Gen,16GB,Nvidia GeForce 930MX,Windows 10,1.93kg,1509.92
591,Dell,Chromebook 11,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Chrome OS,1.26kg,297.44
592,MSI,GT80S 6QE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6th Gen,16GB,Nvidia GeForce GTX 980M,Windows 10,4.5kg,2986.38
593,HP,Omen 17-AN010nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1050,Windows 10,3.78kg,2150.34
594,Lenovo,Thinkpad T460s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,6th Gen,12GB,Intel HD Graphics 520,Windows 10,1.4kg,1570.89
595,Lenovo,Ideapad 320-15IKBR,Notebook,15.6,Touchscreen 1366x768,Intel Core i7 8550U 1.8GHz,8th Gen,12GB,Intel HD Graphics 620,Windows 10,2.2kg,801.06
